state,activity,total_pct,male_pct,female_pct,age_15_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65plus,gender_gap
QLD,Walking (Recreational),49.7,42.98,56.31,27.17,34.09,41.46,49.31,56.7,63.01,55.06,-13.330000000000005
QLD,Fitness/Gym,31.94,31.65,32.22,37.59,38.9,40.8,35.29,29.96,26.99,22.24,-0.5700000000000003
QLD,Bush walking,17.06,16.6,17.52,13.82,17.0,18.36,20.88,21.25,17.87,10.29,-0.9199999999999982
QLD,Running/jogging,15.99,18.02,14.11,23.06,27.27,28.48,21.12,13.52,7.96,1.91,3.91
QLD,Swimming,16.51,15.95,17.12,22.3,18.04,17.64,18.85,16.41,17.48,11.43,-1.1700000000000017
QLD,Cycling,7.81,9.6,6.1,4.83,5.56,7.52,9.42,10.76,11.32,4.16,3.5
QLD,Pilates,5.65,1.08,10.09,3.27,6.44,9.42,6.32,5.93,5.48,2.0,-9.01
QLD,Football/soccer,4.26,6.8,1.81,12.35,10.01,6.5,6.53,2.37,0.55,0.09,4.99
QLD,Yoga,4.96,1.45,8.33,2.4,3.5,6.69,5.79,5.37,5.95,3.15,-6.88
QLD,Basketball,3.52,5.2,1.91,16.95,8.36,5.99,4.01,1.21,0.24,0.0,3.29
QLD,Australian football,1.41,2.04,0.79,2.03,3.27,3.47,1.36,0.55,0.33,0.0,1.25
QLD,Golf,4.36,7.13,1.67,2.38,2.84,3.6,2.42,5.31,5.84,5.94,5.46
QLD,Tennis,4.25,4.88,3.66,7.44,6.79,5.92,4.59,4.09,2.82,1.82,1.2199999999999998
QLD,Netball,1.64,0.48,2.77,8.71,3.66,3.05,1.18,0.77,0.32,0.0,-2.29
QLD,Cricket,1.89,3.39,0.47,4.47,3.01,2.87,1.95,2.45,0.97,0.23,2.92
QLD,Dancing (recreational),1.32,0.45,2.1,3.22,1.41,1.5,1.64,0.84,1.05,1.04,-1.6500000000000001
QLD,Surfing,1.4,1.81,1.02,1.01,0.68,2.09,1.76,1.74,1.66,0.57,0.79
QLD,Table tennis,1.13,1.52,0.77,2.29,2.79,1.31,0.85,0.86,1.02,0.41,0.75
QLD,Volleyball (indoor and outdoor),1.48,1.83,1.16,9.32,4.34,2.22,0.73,0.38,0.31,0.11,0.6700000000000002
QLD,Weight lifting,1.45,1.71,1.15,1.77,2.82,2.62,1.67,0.87,0.91,0.35,0.56
QLD,Bowls,0.85,1.07,0.65,0.0,0.19,0.46,0.32,0.08,0.9,2.55,0.42000000000000004
