state,activity,gender,pct
VIC,Pickleball/padel,Male,0.96
VIC,Pickleball/padel,Female,1.18
WA,Walking (Recreational),Male,41.33
WA,Walking (Recreational),Female,59.53
WA,Fitness/Gym,Male,30.92
WA,Fitness/Gym,Female,34.79
WA,Bush walking,Male,15.11
WA,Bush walking,Female,20.09
WA,Running/jogging,Male,17.78
WA,Running/jogging,Female,15.12
WA,Swimming,Male,14.14
WA,Swimming,Female,18.48
WA,Cycling,Male,13.37
WA,Cycling,Female,9.58
WA,Pilates,Male,0.86
WA,Pilates,Female,12.33
WA,Football/soccer,Male,9.83
WA,Football/soccer,Female,1.83
WA,Yoga,Male,1.38
WA,Yoga,Female,8.31
WA,Basketball,Male,7.21
WA,Basketball,Female,2.05
WA,Australian football,Male,7.09
WA,Australian football,Female,1.8
WA,Golf,Male,7.02
WA,Golf,Female,1.79
WA,Tennis,Male,3.94
WA,Tennis,Female,3.9
WA,Netball,Male,0.47
WA,Netball,Female,4.81
WA,Cricket,Male,4.42
WA,Cricket,Female,0.68
WA,Dancing (recreational),Male,0.39
WA,Dancing (recreational),Female,3.35
WA,Surfing,Male,2.16
WA,Surfing,Female,1.5
WA,Table tennis,Male,1.59
WA,Table tennis,Female,1.45
WA,Volleyball (indoor and outdoor),Male,2.13
WA,Volleyball (indoor and outdoor),Female,1.66
WA,Weight lifting,Male,1.88
WA,Weight lifting,Female,0.76
WA,Bowls,Male,1.03
WA,Bowls,Female,0.51
WA,Badminton,Male,2.02
WA,Badminton,Female,1.71
WA,Motor cycling,Male,1.37
WA,Motor cycling,Female,0.62
WA,Underwater sports,Male,1.53
WA,Underwater sports,Female,1.47
WA,Pickleball/padel,Male,0.86
WA,Pickleball/padel,Female,1.0
