comparison,activity,year_a,pct_a,year_b,pct_b,change_pp
2023/24 vs 2024/25,Touch football,2023/24,0.783,2024/25,0.741,-0.042
2023/24 vs 2024/25,Triathlon,2023/24,0.149,2024/25,0.099,-0.05
2023/24 vs 2024/25,Underwater sports,2023/24,0.748,2024/25,0.849,0.101
2023/24 vs 2024/25,Virtual based physical activity,2023/24,1.024,2024/25,0.914,-0.11
2023/24 vs 2024/25,Volleyball (indoor and outdoor),2023/24,1.375,2024/25,1.301,-0.074
2023/24 vs 2024/25,Walking (Recreational),2023/24,49.46,2024/25,50.146,0.686
2023/24 vs 2024/25,Water polo,2023/24,0.102,2024/25,0.095,-0.007
2023/24 vs 2024/25,Waterskiing/Wakeboarding,2023/24,0.2,2024/25,0.187,-0.013
2023/24 vs 2024/25,Weight lifting,2023/24,1.385,2024/25,1.456,0.071
2023/24 vs 2024/25,Wheelchair rugby,2023/24,0.003,2024/25,0.009,0.006
2023/24 vs 2024/25,Wood chopping,2023/24,0.054,2024/25,0.036,-0.018
2023/24 vs 2024/25,Wrestling,2023/24,0.033,2024/25,0.054,0.021
2023/24 vs 2024/25,Yoga,2023/24,4.894,2024/25,4.976,0.082
2024 vs 2025,Adventure racing,2024,0.236,2025,0.072,-0.164
2024 vs 2025,Air sports,2024,0.355,2025,0.224,-0.131
2024 vs 2025,Archery,2024,0.247,2025,0.179,-0.068
2024 vs 2025,"Athletics, track and field",2024,1.51,2025,1.318,-0.192
2024 vs 2025,Australian football,2024,2.609,2025,2.417,-0.192
2024 vs 2025,Badminton,2024,1.848,2025,1.886,0.038
2024 vs 2025,Baseball,2024,0.382,2025,0.309,-0.073
2024 vs 2025,Basketball,2024,4.734,2025,4.526,-0.208
2024 vs 2025,Baton twirling,2024,0.029,2025,0.012,-0.017
2024 vs 2025,Biathlon,2024,0.014,2025,0.006,-0.008
2024 vs 2025,Billiards/Snooker/Pool,2024,0.329,2025,0.304,-0.025
2024 vs 2025,BMX,2024,0.043,2025,0.028,-0.015
2024 vs 2025,Bobsledding,2024,0.0,2025,0.002,0.002
2024 vs 2025,Bocce/Boules,2024,0.014,2025,0.014,0.0
2024 vs 2025,Boccia,2024,0.0,2025,0.0,0.0
2024 vs 2025,Body building,2024,0.036,2025,0.041,0.005
2024 vs 2025,Boomerang throwing,2024,0.011,2025,0.015,0.004
2024 vs 2025,Bowls,2024,0.885,2025,0.834,-0.051
2024 vs 2025,Boxing,2024,0.893,2025,0.848,-0.045
2024 vs 2025,Broomball,2024,0.005,2025,0.002,-0.003
2024 vs 2025,Bush walking,2024,16.857,2025,17.468,0.611
2024 vs 2025,Calisthenics,2024,0.24,2025,0.359,0.119
2024 vs 2025,Campdrafting,2024,0.022,2025,0.013,-0.009
2024 vs 2025,Canoeing/Kayaking,2024,0.963,2025,0.997,0.034
2024 vs 2025,Circus,2024,0.043,2025,0.034,-0.009
2024 vs 2025,Cricket,2024,2.419,2025,2.492,0.073
2024 vs 2025,Croquet,2024,0.074,2025,0.088,0.014
2024 vs 2025,Crossfit/Functional fitness,2024,0.571,2025,0.648,0.077
2024 vs 2025,Curling,2024,0.011,2025,0.01,-0.001
2024 vs 2025,Cycling,2024,8.589,2025,8.294,-0.295
2024 vs 2025,DanceSport,2024,1.047,2025,1.123,0.076
2024 vs 2025,Dancing (recreational),2024,1.778,2025,1.629,-0.149
2024 vs 2025,Darts,2024,0.16,2025,0.162,0.002
2024 vs 2025,Diving,2024,0.049,2025,0.05,0.001
2024 vs 2025,Dodgeball,2024,0.076,2025,0.077,0.001
2024 vs 2025,Dragon boat racing,2024,0.049,2025,0.07,0.021
2024 vs 2025,Eight ball,2024,0.043,2025,0.027,-0.016
2024 vs 2025,Equestrian,2024,0.443,2025,0.442,-0.001
2024 vs 2025,eSports,2024,0.275,2025,0.211,-0.064
2024 vs 2025,Fencing,2024,0.076,2025,0.045,-0.031
2024 vs 2025,Fishing (recreational),2024,1.21,2025,1.07,-0.14
2024 vs 2025,Fitness/Gym,2024,30.331,2025,34.102,3.771
2024 vs 2025,Floorball,2024,0.006,2025,0.028,0.022
2024 vs 2025,Flying disc,2024,0.237,2025,0.249,0.012
2024 vs 2025,Football/soccer,2024,5.437,2025,5.624,0.187
2024 vs 2025,Gaelic football,2024,0.037,2025,0.063,0.026
2024 vs 2025,Geocaching,2024,0.028,2025,0.032,0.004
2024 vs 2025,Goalball,2024,0.012,2025,0.01,-0.002
2024 vs 2025,Golf,2024,4.685,2025,4.563,-0.122
2024 vs 2025,Gridiron,2024,0.062,2025,0.045,-0.017
2024 vs 2025,Guides,2024,0.009,2025,0.004,-0.005
2024 vs 2025,Gymnastics,2024,0.557,2025,0.54,-0.017
2024 vs 2025,Handball,2024,0.146,2025,0.114,-0.032
2024 vs 2025,Harness racing,2024,0.018,2025,0.011,-0.007
2024 vs 2025,Hockey,2024,0.448,2025,0.512,0.064
2024 vs 2025,Horse racing,2024,0.04,2025,0.024,-0.016
2024 vs 2025,Ice hockey,2024,0.06,2025,0.061,0.001
2024 vs 2025,Ice racing/speed skating,2024,0.009,2025,0.007,-0.002
2024 vs 2025,Ice skating,2024,0.213,2025,0.214,0.001
2024 vs 2025,Jet skiing,2024,0.086,2025,0.067,-0.019
2024 vs 2025,Judo,2024,0.044,2025,0.066,0.022
2024 vs 2025,Jujitsu,2024,0.2,2025,0.17,-0.03
2024 vs 2025,Karate,2024,0.232,2025,0.186,-0.046
2024 vs 2025,Kendo,2024,0.009,2025,0.03,0.021
2024 vs 2025,Kitesurfing/kiteboarding,2024,0.019,2025,0.013,-0.006
2024 vs 2025,Korfball,2024,0.0,2025,0.005,0.005
2024 vs 2025,Kung fu wushu,2024,0.012,2025,0.009,-0.003
2024 vs 2025,Lacrosse,2024,0.029,2025,0.03,0.001
2024 vs 2025,Lifesaving royal,2024,0.0,2025,0.005,0.005
2024 vs 2025,Lifesaving surf,2024,0.141,2025,0.13,-0.011
2024 vs 2025,Luging,2024,0.004,2025,0.0,-0.004
2024 vs 2025,Marching,2024,0.004,2025,0.012,0.008
2024 vs 2025,Martial arts,2024,0.678,2025,0.626,-0.052
2024 vs 2025,Mixed martial arts,2024,0.082,2025,0.093,0.011
2024 vs 2025,Modern pentathlon,2024,0.007,2025,0.003,-0.004
2024 vs 2025,Motor cycling,2024,1.095,2025,0.947,-0.148
2024 vs 2025,Motor sport,2024,0.291,2025,0.254,-0.037
2024 vs 2025,Mountain biking,2024,0.592,2025,0.726,0.134
2024 vs 2025,Mountain climbing,2024,0.119,2025,0.099,-0.02
2024 vs 2025,Muay Thai,2024,0.105,2025,0.166,0.061
2024 vs 2025,Netball,2024,2.1,2025,2.107,0.007
2024 vs 2025,Obstacle,2024,0.029,2025,0.056,0.027
2024 vs 2025,Orienteering,2024,0.05,2025,0.07,0.02
2024 vs 2025,Outrigger canoe,2024,0.026,2025,0.027,0.001
2024 vs 2025,Oztag,2024,0.301,2025,0.223,-0.078
2024 vs 2025,Paddle sports,2024,0.194,2025,0.209,0.015
2024 vs 2025,Paintball,2024,0.051,2025,0.012,-0.039
2024 vs 2025,Parkour,2024,0.028,2025,0.022,-0.006
2024 vs 2025,Petanque,2024,0.009,2025,0.003,-0.006
2024 vs 2025,Physical Culture,2024,0.032,2025,0.061,0.029
2024 vs 2025,Pickleball/padel,2024,0.698,2025,1.314,0.616
2024 vs 2025,Pilates,2024,5.788,2025,7.181,1.393
2024 vs 2025,Polo,2024,0.0,2025,0.001,0.001
2024 vs 2025,Polocrosse,2024,0.005,2025,0.004,-0.001
2024 vs 2025,Pony Club,2024,0.048,2025,0.046,-0.002
2024 vs 2025,Powerlifting,2024,0.062,2025,0.042,-0.02
2024 vs 2025,Ready Steady Go Kids,2024,0.004,2025,0.008,0.004
2024 vs 2025,Rock climbing/Abseiling/Caving,2024,0.435,2025,0.457,0.022
2024 vs 2025,Rodeo,2024,0.003,2025,0.003,0.0
2024 vs 2025,Rogaining,2024,0.009,2025,0.022,0.013
2024 vs 2025,Roller Derby,2024,0.026,2025,0.013,-0.013
2024 vs 2025,Rope skipping,2024,0.293,2025,0.248,-0.045
2024 vs 2025,Rowing,2024,0.611,2025,0.585,-0.026
2024 vs 2025,Rugby league,2024,0.747,2025,0.763,0.016
2024 vs 2025,Rugby union,2024,0.332,2025,0.374,0.042
