activity,age_group,pct,total_pct,rank
Calisthenics,45-54,0.251,0.359,48
Calisthenics,55-64,0.178,0.359,48
Calisthenics,65+,0.085,0.359,48
Sailing,15-17,0.299,0.327,49
Sailing,18-24,0.135,0.327,49
Sailing,25-34,0.166,0.327,49
Sailing,35-44,0.219,0.327,49
Sailing,45-54,0.362,0.327,49
Sailing,55-64,0.687,0.327,49
Sailing,65+,0.4,0.327,49
Baseball,15-17,0.715,0.309,50
Baseball,18-24,0.545,0.309,50
Baseball,25-34,0.474,0.309,50
Baseball,35-44,0.396,0.309,50
Baseball,45-54,0.367,0.309,50
Baseball,55-64,0.055,0.309,50
Baseball,65+,0.015,0.309,50
Billiards/Snooker/Pool,15-17,0.425,0.304,51
Billiards/Snooker/Pool,18-24,0.392,0.304,51
Billiards/Snooker/Pool,25-34,0.486,0.304,51
Billiards/Snooker/Pool,35-44,0.274,0.304,51
Billiards/Snooker/Pool,45-54,0.253,0.304,51
Billiards/Snooker/Pool,55-64,0.259,0.304,51
Billiards/Snooker/Pool,65+,0.166,0.304,51
