period,age_group,frequency,pct
Jan–Dec 2025,18-24,2+/week,58.87
Jan–Dec 2025,18-24,3+/week,48.91
Jan–Dec 2025,18-24,4+/week,40.01
Jan–Dec 2025,18-24,5+/week,32.71
Jan–Dec 2025,18-24,6+/week,25.47
Jan–Dec 2025,18-24,7+/week,19.46
Jan–Dec 2025,25-34,1+/year,89.43
Jan–Dec 2025,25-34,1+/month,84.11
Jan–Dec 2025,25-34,1+/fortnight,78.84
Jan–Dec 2025,25-34,1+/week,70.29
Jan–Dec 2025,25-34,2+/week,59.56
Jan–Dec 2025,25-34,3+/week,50.09
Jan–Dec 2025,25-34,4+/week,40.79
Jan–Dec 2025,25-34,5+/week,32.58
Jan–Dec 2025,25-34,6+/week,25.04
Jan–Dec 2025,25-34,7+/week,19.63
Jan–Dec 2025,35-44,1+/year,88.7
Jan–Dec 2025,35-44,1+/month,83.18
Jan–Dec 2025,35-44,1+/fortnight,77.45
Jan–Dec 2025,35-44,1+/week,68.43
Jan–Dec 2025,35-44,2+/week,57.31
Jan–Dec 2025,35-44,3+/week,47.64
Jan–Dec 2025,35-44,4+/week,38.16
Jan–Dec 2025,35-44,5+/week,30.83
Jan–Dec 2025,35-44,6+/week,23.15
Jan–Dec 2025,35-44,7+/week,17.61
Jan–Dec 2025,45-54,1+/year,89.25
Jan–Dec 2025,45-54,1+/month,84.21
Jan–Dec 2025,45-54,1+/fortnight,79.88
Jan–Dec 2025,45-54,1+/week,71.54
Jan–Dec 2025,45-54,2+/week,61.31
Jan–Dec 2025,45-54,3+/week,52.65
Jan–Dec 2025,45-54,4+/week,43.97
Jan–Dec 2025,45-54,5+/week,35.97
Jan–Dec 2025,45-54,6+/week,27.33
Jan–Dec 2025,45-54,7+/week,20.47
Jan–Dec 2025,55-64,1+/year,87.45
Jan–Dec 2025,55-64,1+/month,83.66
Jan–Dec 2025,55-64,1+/fortnight,80.42
Jan–Dec 2025,55-64,1+/week,73.45
Jan–Dec 2025,55-64,2+/week,64.89
Jan–Dec 2025,55-64,3+/week,56.86
Jan–Dec 2025,55-64,4+/week,48.02
Jan–Dec 2025,55-64,5+/week,39.93
Jan–Dec 2025,55-64,6+/week,30.34
Jan–Dec 2025,55-64,7+/week,23.24
Jan–Dec 2025,65+,1+/year,75.43
Jan–Dec 2025,65+,1+/month,71.7
Jan–Dec 2025,65+,1+/fortnight,68.92
Jan–Dec 2025,65+,1+/week,61.85
Jan–Dec 2025,65+,2+/week,54.19
Jan–Dec 2025,65+,3+/week,45.99
Jan–Dec 2025,65+,4+/week,38.46
Jan–Dec 2025,65+,5+/week,32.02
Jan–Dec 2025,65+,6+/week,23.77
Jan–Dec 2025,65+,7+/week,17.38
